cleaned_text,emotions,emotion_encoded
god chosen help daughter become woman god intended even feel perfect,joy,2
feeling bad except ribs aching pulled muscle shoulder blade region excruciating hours hacking lungs last night,sadness,4
point feeling resentful toward want,anger,0
write feel oddly calm like wanting relax big chair lay sun,joy,2
feel really inspired,joy,2
know tell people feel question sincere sacred treasures,joy,2
sit cry feel wronged wont change outcome,anger,0
worried maybe sleeping well getting enough milk feeling lethargic,sadness,4
going actively learn genres practice feel feel dancer gt fearless courageous confident phew,joy,2
started feeling little stressed leaving time making sure got getting ready pictures wanted everything seemed workout perfectly,anger,0
feel like ugly monster show really lest seem weird plainly outcast,sadness,4
feel little guilty exceptional little girl ethiopia home arms blog continues surround goosey,sadness,4
feel need layer fake tan night give bit colour clothes,sadness,4
feel real emotional connection ice queen north revealed inhumanity runs bloody family,sadness,4
designing earrings customers bridesmaids feel honoured,joy,2
could adopt messages could think help make feel peaceful grateful happier right,joy,2
feel quite worthless hear pretty normal north americans point,sadness,4
feel well enough cook,joy,2
feel bad hes stood bewildered,sadness,4
could feel hundreds loving people around world connecting earth simply beautiful,love,3
feel generous spirit forgiving nature closes accepting gifts universe,love,3
feel accepted loved community derby girls helped create,joy,2
feel utterly disgusted right contemplating death every waking moment ever since uttered words,anger,0
often feel confused whether bipolar really hard core sinful nature,fear,1
feeling thankful,joy,2
feel privileged played,joy,2
read time amp place feeling less perfect,joy,2
im happy feel pressure one thing another amp makes unhappy,sadness,4
feel worthwhile give depth city sized look one cycle days,joy,2
still feeling exhausted workouts monday tuesday go walk park,sadness,4
grabbed dog hugged fiercly next hour began feel bit like havent completly shaken feeling feeling rather depressed anxious day,fear,1
found feeling inhibited shushing quite lot,sadness,4
admit jet lagged daylight feel groggy almost hung night everyone tucked snoozing light pops brain transform ever ready bunny,sadness,4
often throw work maxim last week feel discouraged way move forwards offer encouragement others,sadness,4
feel lot better way wrote bit code,joy,2
supposed feel sympathy emma im afraid failed,fear,1
feel inside life like game sometimes came around walls dissapeared nothing surround keep fears im unprotected see ive opened youve made trust coz ive never felt like im naked around show,sadness,4
energy get angry upset anymore feel little resigned,sadness,4
cant tell many times four months seeing seriously serious emotional talks one us feeling tender,love,3
feeling emotional brothers arrival,sadness,4
im even feeling liked girls hate pretty much everyone,love,3
go day feeling movements amazed something miraculous happening body like special secret,surprise,5
feel valuable want share,joy,2
feel unloved without next im,sadness,4
feel falling pit buying think real skeptical women,fear,1
learning deal nausea amp manage unpleasantness work trying keep anyone knowing sister told need suffer amp feel miserable amp call dr zofran,sadness,4
im feeling greedy right,anger,0
justified feeling slighted ungrateful,sadness,4
feel like waiting wings patiently waiting distracted enough take take everything love world away destroy,anger,0
feel like fucked big time protect,anger,0
feel like mind blank empty,sadness,4
feel comfortable playing games presenting bad guy really misunderstood good guy vice versa,joy,2
listen advice eating disorder actually feel better,joy,2
bought gb iphone got apple store credit feel like sympathetic early buyers responded appropriately,love,3
im feeling lot optimistic future,joy,2
feel pissed angry,anger,0
couldnt help feeling awful predicament lives daily nightly basis glad bel started see light stuck stood daniel whilst one else including family im afraid got really disgusted,sadness,4
im feeling completely mellow perfect tonight,joy,2
feel curious would like explore top helterskelter like plant,surprise,5
ive learned angels earth feel feel stand loving thought healing heart steady hand would also offer without moments hesitation return always,love,3
feel packaging really lovely product everything ask,love,3
feel ive ignored long year,sadness,4
know different feel hugs kisses im perfect way,joy,2
feeling little relaxed certainly feeling refreshed thanks drunk dudes decided letting fireworks every half hour night would super fun fact impossible sleep freezing cold complaining toddler certainly rebooted,joy,2
definitely feel useful information anyone facing similar questions time life,joy,2
feel sense melancholy,sadness,4
im sad people unhappy flag religious reasons know many religious people feel goes faith supportive,love,3
feel brave though,joy,2
walked near hotel felt obvious uneasy warnings petty crime read guidebook maybe residual years ago left feeling threatened,fear,1
feel like finally losing stubborn little bit extra stuff lower belly,anger,0
feeling overwhelmed trying think women,surprise,5
remember feeling frightened could feel emotions high level,fear,1
feel inside coz fucking horny,love,3
tested positive never taken drugs feel innocent says martina,joy,2
im proud words describe way makes heart feel thank god supportive amazing hubbard,love,3
made sex feel women enjoy sex body emotions admired respected,love,3
feel need work acceptable conversation fodder,joy,2
hiked long steep hillside loaded grass bushes feeling pretty doubtful id able find,fear,1
really like color scheme since makes feel peaceful clean simple,joy,2
feels lame,sadness,4
personally feel creative present everything packed inside brown paper bag,joy,2
feel fearless post grieving days,joy,2
feel blessed married loves stepchildren,joy,2
dropped martin back dd pulled feeling exceptionally outgoing waved talked neighbors downstairs,joy,2
feel faithful ever,joy,2
feeling relieved feel,joy,2
sometimes feel bit unwelcome,sadness,4
feel complacent moment,joy,2
feel passionate arouse emotions seem things need learn something emotion tells need grow direction,love,3
feel makes person love happened something find acceptable,joy,2
lost yarn overs done first lace project feeling pretty pleased,joy,2
want know become prime minister less year time proud friend israel jew someone feels proud part community gathered today,joy,2
feel somewhat safe give hosting try,joy,2
follow many people many followers however feeling people talking may know trying rude real,anger,0
never feel lonely long people love support work,sadness,4
much going life constantly running like crazy always steal quiet moment acknowledge child overwhelming excitement anticipation feel god truly faithful brings everything around,love,3
suspect reasoning may simply lull apple feeling complacent,joy,2
feel exhausted,sadness,4
prepare feel thankful events touch upon many different concerns poetry language issues pacific aesthetics avant garde eco poetry,joy,2
met present boyfriend boat trip england said would call got back sweden going town england soon walked called england could wait till came home,joy,2
feel inspired many thing want write,joy,2
im hurt feel unimportant,sadness,4
feel like uninstalling skype deactivateing facebook amp hatena accounts since im becoming hateful person amp dont want get worse right,anger,0
began feel shaky nauseous yearned connection cairns make deprivation,fear,1
feeling adventurous though went asian flavors ginger sesame oil salad,joy,2
playing sport advanced pe class many people advanced,anger,0
cause extreme worry distress ground remember fondly forever mary prepares feel unfortunate time eventuallythe intense emotion sexual lovein condescend come hand puts strength wu mouth dont let oneself cry,sadness,4
feel greedy holidays forgetting responsibilities,anger,0
mean feel like broke record sometimes,sadness,4
feeling rather heartless recently heard words unconditional love could find,anger,0
feel dissatisfied accustomed healing,anger,0
im feeling doubtful patterns colors working together cant sure everything comes together,fear,1
want get back habit blogging cool fun things im also trying get rut writing feeling shitty,sadness,4
still healing heart broken still healing broken dreams still doubting still feeling confused,fear,1
gents feeling lousy last weeks ended trip hospital last saturday put damper wedding anniversary,sadness,4
read learn interviews feel like could never deserve someone kind compassionate,love,3
feel thats strange wotcs behalf,surprise,5
take walk park feeling joyful,joy,2
feel calm silent protected definiteness existence,joy,2
want feel assured life good know trust lord,joy,2
feel safe berry,joy,2
im feeling envious already,anger,0
suck boring dull town feeling missed family bf,sadness,4
feel like cute things dont feel comfortable dont know put together,joy,2
feel like emotional cutter,sadness,4
wake morning go sleep evening feel seed voice heart screaming empty stitched heart,sadness,4
received blanket absolutely amazed fluffy extremely soft really didnt think going feel amazing,surprise,5
feel sometimes im talented enough,joy,2
feel would foolish perhaps little disrespectful consider long hilly race,sadness,4
mention oldest child youngest feelings hurt,sadness,4
woke today feeling kind strange,fear,1
im sick feeling unimportant like nobody needs,sadness,4
feeling quite distressed dejected battle insomnia,fear,1
feel hated cempaka,sadness,4
feel numb many fucking feels shorted feeling,sadness,4
often use disney cheer im feeling low past couple days exception,sadness,4
ive feeling little defeated maybe even looked,sadness,4
feel shy wearing,fear,1
say long enjoy story entertains makes feel emotional whether sad happy angry disgusted plain horny really gives damn,sadness,4
wept jackson slept feeling overwhelmed feeling want die,fear,1
feel confident personal life right work life going well boss slowly understanding continually ask demand address tough issues cause problems various departments,joy,2
dont know whether presence reason feel homesick uk us makes miss former home,sadness,4
mentioned last blog started get feeling pressured studying things like also made person might fully,fear,1
unwillingly always leaves feeling grouchy unsettled,anger,0
give men women complain lot heals wear least wear dress feel cool summer,joy,2
feel like listening chinesepod working mandarin really want listen savage love podcast car talk,anger,0
feel assured guns locked away gun safe making impossible children access,joy,2
also feel conversation could dovetail quite easily another images objects ugly serve purpose ironic,sadness,4
dont want make blog something whine time feel like ive beaten two four something,sadness,4
feel bad wasting time effort nothing,sadness,4
feel overwhelmed,surprise,5
kept trying make feel better,joy,2
get making employees feel valued really economy another k jobs dumped last week alone suspect majority people thinking like rudy thank god still job,joy,2
feel lucky theyve chosen share lives,joy,2
feel embarrassed enough,sadness,4
im feeling sorry though think poor people lost lives everything due sandy,sadness,4
told people class leader choose friends true,anger,0
stop feeling guilty,sadness,4
know people fond treat going getting pedicure sit enjoy wonderful feeling someone else massaging tender tootsies flipping pages book magazine,love,3
first read book college helped cope feeling helplessness fear uncertain future,fear,1
get creative feel like sit chat customers people lovely even kermit helps see,love,3
get feeling donald smart enough educate densely focused meanderings inherent shortcomings,joy,2
feeling frantic,fear,1
feel extremely dangerous wandering sea,anger,0
grateful filled general conference feel joyful power spirit wonderful weekend,joy,2
think viewers tonight enjoy show coming malm like things less fond things hopefully feel entertained smitten feel urge cast vote regardless country voting tonight,joy,2
ever want feel vulnerable,fear,1
bought doraemon backpack charity store every intention putting etsy store feel like cute sell,joy,2
im looking upon next year adventure likely make curse mathematics subjects hell eventually make feel relieved,joy,2
put without words since cant type lovely morning yes im feeling sarcastic today,anger,0
feel kind unwelcome many catholic communities hope isnt case,sadness,4
lift different hurt bad day happened get mind feel bit timid,fear,1
feeling rather homesick today decided make list typical city sight might come use decide visit switzerlands largest city,sadness,4
im sure ill feel playful soon cant right,joy,2
couldnt feel blessed time,joy,2
feel like rich purple gold match made heaven reinforces belief,joy,2
sit hostel nearly two months ago time wearing jacket feeling toes might little numb cold,sadness,4
feel lost without,sadness,4
feel smart figure things,joy,2
im graduating two days feel sad right,sadness,4
feel naughty step outside species compellingly different,love,3
want feel less stressed,sadness,4
still feel nervous,fear,1
put mind odd feeling vicious cruel natural order seems one able escape town cycles predator victim catching anyone trying elevate mire,anger,0
feel violent ever right,anger,0
feel ecstatic privileged,joy,2
feel perfect event,joy,2
came away expereince feeling like encounter divine,joy,2
feel slightly saddened know kids also resigned absence,sadness,4
sit snowy ohio countryside christmas eve feeling like postcard thrilled announce found,joy,2
im feeling hopeful coming summer,joy,2
feel bit like naughty kid went spent last pence bag full e numbers guilty,love,3
tune rest world focus rhythm needles softness yarn time feel peaceful,joy,2
say feel alone br style color line height,sadness,4
feeling heartbroken lonely watched second younger sibling get married leaving lone single adult family,sadness,4
lost pounds also started feel really awful,sadness,4
enjoy work genuine feel pleasant message trying deliver,joy,2
knew except lost girly feeling gained graceful wisdom,joy,2
feeling bit ungrateful choose correct,sadness,4
notice different question feeling agitated,fear,1
feel like noob customers make really dull stupid jokes im supposed find funny,sadness,4
getting sent company expense trip another state work week plan,joy,2
feel insulted heroes cosplay goons said care,anger,0
eat good breakfast feel energetic throughout whole day feel clock slump,joy,2
feel strongly supporting charities help children,joy,2
ever seen life laceys constant disapprovements rikkis extreme happiness wasnt feeling quite carefree,joy,2
started thinking spaces made feel creative characteristics,joy,2
usually ignore page invites irrelevant facebook game invites impersonal feels insincere,anger,0
feeling playful morning,joy,2
feel like im pathetic little desperation,sadness,4
feel totally completely accepted loved heavenly abba pointing sin life,love,3
feel fond though feels like amalgamation many people already know,love,3
feel like teams would appeased jackson point eagles terribly stubborn,anger,0
feel like damaged goods one want,sadness,4
think love enough feel pretty insulted rawr,anger,0
help feeling lucky little know,joy,2
also feel need say thank boy helped realize showing absolutely splendid hot night,joy,2
never tell feel really sucks think gets really bothered,anger,0
ive also nosy website seeing coming time year im feeling strangely festive ive picked top five products href http www,joy,2
suppose natural id start feel little homesick new england time year,sadness,4
really feel like successful identifying pretty scary early warning signs sticking foot door shut,joy,2
cant help think id shut id made big deal essentially two adults meeting table hot beverage perhaps wouldnt spent bulk weekend feeling like stupid shit,sadness,4
feeling really stressed due homework studies increased rapidly last week,sadness,4
im begging fate mess next cycle let look pretty one least go feeling reassured,joy,2
input class size medium wp image height src http techfeel wp content uploads google hindi input x,joy,2
ive got learn mindful feel time im suspicious feeling,fear,1
feeling much relaxed,joy,2
feel acceptable make requests using name,joy,2
feeling lot pissed people sea org hollywood scientology become monster devoured wa wonderfully sleazy bohemian area,anger,0
feel pained,sadness,4
reading sewing circles feel completely happy cant spit face imperialism least lesbian,joy,2
feeling pretty fearless,joy,2
feel bouncy twitchy sudden,joy,2
feel like mellow restive dream maker,joy,2
feel passionate joy,joy,2
nostalgic feelings met wonderful people online online internet like second life,joy,2
feel rejected trying find path stronger relationship bond god,sadness,4
dont know deal feel like becoming apart im afraid im going associate regular things never forget,fear,1
think fact know lot time play catch also free time first time feels like forever really free time,joy,2
feel extremely privileged live country vote legitimate matters,joy,2
feel strange gratitude hated israeli occupation sinai lasted actually recognizing importance sinais history,surprise,5
im much peaceful happy house clean food good kids arent feeling needy,sadness,4
felt birthday one day feel special could whatever wanted,joy,2
feel depressed,sadness,4
got saturday morning feeling like crud determined let get best,joy,2
feel determined steal private industries away citizens nation given time fighting real enemies theu,joy,2
would say yet would feel superior fact self righteous even would admit back remember looking point see point come could face protect ego,joy,2
feel tender anyone upset bee movie sort like feel old aunts dont realize prickly whiskers getting slightly repulsed sad decline,love,3
sat embrace realised two hours spent shaking thang eighties bar celebrating fact one year closer death left ageing body feeling punished normally pink feet blackened,sadness,4
feel humiliated self,sadness,4
feel worthwhile item within company mission,joy,2
feel earth move tribute carole king karaoke mix details rel nofollow target blank see details compare prices img src http www,sadness,4
im one feelings emotions thats pathetic,sadness,4
say certain actually makes feel amused sure people offices told href http news,joy,2
feel defeated okay hahaha mid term holiday good,sadness,4
decided lay bed started feel really violent like wanted punch kick things except didnt wnat hurt anything,anger,0
want say feel numb numb wouldnt pain probably wouldnt able cry much,sadness,4
go sometime future id probably stick african tram comes entry fee maybe id spring asian tram feeling particularly brave might even try hot air balloon thought reasonable priced,joy,2
always feel shocked threatening,surprise,5
supposed alright even feeling comfortable home able cook meals without year old helping ok mounting pile water utility bills,joy,2
proud british glad young certainly feel blessed opportunity,joy,2
whenever put others shoes try make person happy,anger,0
feel absolutely devastated gaia pushed limit spite great strides seem making media attention lately,sadness,4
feel around someone idiotic feel hence unintelligible blabbering,sadness,4
feeling content oh happy life,joy,2
found feeling bit overwhelmed,surprise,5
know feel guess one moments want feel like accepted even though whatever get mattered,love,3
sure gnawing feeling getting agitated sitting around nothing,anger,0
dont remember january like last year thats need real diary one feeling bitter dark boring,anger,0
normally find intimidating shes crazy tiny little foreign food places people like feel less socially intimidated im,fear,1
feel quite researched intelligent confidence consuming meat,joy,2
ate something wrong feel terrible day,sadness,4
feel like place even messy,sadness,4
feel unprotected even travelling alone,fear,1
believe feeling duality suffering soul growth tells ending decline change direction often one associated emotions offers one possible response decline change moving,sadness,4
feel really uptight unable unwind,fear,1
im learning mandarin chinese preparation trip tianjin september already four lessons feel like handle basics im thrilled insight language always total mystery,joy,2
think feels little weird,fear,1
feel truth accepted judged well,love,3
feel like indecisive idiot,fear,1
decide feel tell blamed never told would like,sadness,4
feel vets animals whose lives save always going hostile,anger,0
still feel anything else humiliated whenever think everything happened,sadness,4
feel like finally want write one vain hobbies makeup,sadness,4
regularly feel embarrassed,sadness,4
realized want shoot weddings clients connect feel comfortable must allow get know,joy,2
checked babys heartbeat continued feel moving besides feeling terrible peace,sadness,4
found giggling clapping hands often five year old ice cream wagon never point didnt feel genuinely entertained,joy,2
feel virtuous looking pictures books,joy,2
guess help got sick black friday forced maintain promise stay back city feels amazing,surprise,5
feel rather like celebrity widget stood let admired drank orange squash cup,joy,2
really feel like space anymore really vain idea,sadness,4
reasonably deduce grandfather also love mother negate lifetime damage feeling unloved unwanted created,sadness,4
im saying read book characters hard empathise lot time found feeling distraught something happened rather uninterested blank,fear,1
im spending less especially stuff wont last long bringing tons stuff house feel positive holiday gift giving,joy,2
feel embarrassed lost weight im afraid another week disappointing news scale cause people give stop following blog,sadness,4
feel little guilty contemplate going back get money prisoners begin enter room,sadness,4
careened feeling confident abilities writer equally sure never ever write anything worth reading,joy,2
feel honoured asked,joy,2
feel pathetic hardly go whole day talking,sadness,4
faith supreme power accept everything incidence occuring life sometimes like today really makes feel dull start crying,sadness,4
want feel humiliated made feel school,sadness,4
desperate kareena akshay kumar play double role flash forward minissha says still feel today amisha patel glamorous avtaar,joy,2
feel like doomed,sadness,4
always well succeded,joy,2
felt bad bad grade feeling like hide didnt know say except declare frustration hated school,sadness,4
feel assaulted shit storm confusion anger hurt feelings tsunami us away,fear,1
feel fucking low,sadness,4
feel betrayed angry sad time dammit,anger,0
feel reassured county government county takes murder illegal immigrant back alley seriously enough prosecute someone years later,joy,2
know feel submissive learning use firearm,sadness,4
feel drained end novel try hardest get something change impact life,sadness,4
truly surprised feel quite honored,joy,2
hate feeling alone,sadness,4
feel like people accepted wed get along lot better,love,3
feel creative juices beginning flow,joy,2
feel suffocated paranoid,fear,1
would call success feeling pretty depressed state clothes,sadness,4
feel soo lonely,sadness,4
see wednesday im feeling fantastic days tell im getting smaller smaller,joy,2
feel though another adventure curious anything else,surprise,5
also feel sidebar messy,sadness,4
feel respected secure journey toward loving loved return,joy,2
im feeling relieved yet painful something inside creepily numb feel like ghost hallways way used dont tell another time succumb,joy,2
feel amazed thankful e lives,surprise,5
must confess im still feeling uncertain god going work everything,fear,1
really bad feeling cold months,anger,0
ive feeling sort depressed,sadness,4
feeling indecisive ever suppose,fear,1
felt abandoned seemed like millionth time life spent last several days feeling sorry picking order help friends,sadness,4
enjoy day feel cute,joy,2
bonded point time still feel fond memory,love,3
remember come feel beaten depressed faith truly healed,sadness,4
sometimes feel carried heart loving child fiercely,love,3
feel said quickly glad,joy,2
understand reacting think observing us closely become happier actual feel supporting us,love,3
imagined form fitting clothing beautiful looking mirror feeling proud lighter energetic,joy,2
starting feel like maybe want relationship im stubborn admit,anger,0
feel appreciative money coming,joy,2
feel loyal especially ive experienced recently trust,love,3
feel pain heart every priestess temple drops every single ven devoted talia loses devotions takes rank injury equal devotion,love,3
feel smug got exploited gets bruno marzzz,joy,2
ive soo excited feel amazing,joy,2
feel kinda lousy,sadness,4
know thing many passersby feel special truly welcome country,joy,2
didnt start feeling excitement movie almost started coming violent waves,anger,0
feel blessed friends come,joy,2
feeling strange also present movement trying one way,fear,1
feel like acceptable,joy,2
feel like im boring sometimes im okay,sadness,4
felt need write sometimes anxious feelings impatient thoughts lists things still could done baby arrives,anger,0
feel like life vain,sadness,4
dropped script left feeling dissatisfied,anger,0
im starting feel really pathetic giving bulk enthusiasm days kardashians us weekly roseanne marathons completely ignoring blog,sadness,4
feel love se inscrie intr un rafinament lejer romantic si extrem de feminin,love,3
really wish time explore twitter feel like lost lot time learning use site,sadness,4
love yoga love learning love made think sharing yoga students feel hopeful excited,joy,2
went training feeling disheartened,sadness,4
feel glad,joy,2
priceless feel honoured every mum dad trusts new arrival,joy,2
felt really bad claudia always amazing time la could feel disappointed trip turning fun amazing could,sadness,4
remember feeling nervous,fear,1
feel need pimp since raini beloved rocky casting director loves much,joy,2
feel like life taken video game im doomed repeat set circumstances collect special powers knowledge treasures finally advance next level,sadness,4
feel like one punished,sadness,4
kept feeling wonderful ran couldnt believe,joy,2
feel less stress pretty much unpleasant obligation life know allow mix things enjoy running baking climbing coffee girlfriends cuddling dog reading book,sadness,4
lying bed last night day making experiments usual suspects fabric plastic feeling agitated issues proper presentation made headway course mere six hours,anger,0
working right guys feel horny much passion,love,3
feel like im greedy asking something expensive,anger,0
see feel friendly,joy,2
tell sick injured feeling generally awful climbed team car abandoned race right spectators snapping away phones,sadness,4
forced keep going back even though made feel consistently uncomfortable gave saw point,fear,1
wonder im vain love dressing attempting fashionable realized nothing wrong dressing feel pretty cute smart whatever,joy,2
feel special want mashed potatoes pronto get mashed potatoes pronto,joy,2
cant remember exactly made stop using feeling got distracted hair products sort forgot one,anger,0
feel kind acceptance song gave photo kind ecstatic ascension higher level conscience aesthetic like rapture sort,joy,2
always feel alone,sadness,4
feeling hell kid shooting daggers eyes annoyed hes standing holding flowers,anger,0
dont know feel thrilled finally getting go camping people like know first time thats happened,joy,2
feel talk like disadvantaged child waiting half face come back,sadness,4
help feel really nostalgic disney levels,love,3
feel entirely dangerous,anger,0
remember feeling thrilled use nursing skills relieved could days house remember first hard problem,joy,2
found amazed mid f would feel tad cool perhaps sweatshirt wouldve good idea,joy,2
feel like may mislead gracious readers blog,joy,2
still feel confused guilty whole thing,fear,1
feel intimidated tasks feel overwhelmed huge complicated tasks,fear,1
feeling emotional crying apparent reason time feels like world ending,sadness,4
feel lonely sad talk day get moment desk,sadness,4
still sit back feel amazed whole thing,surprise,5
feel rejected cant find ive left behind,sadness,4
feel like cant dirty dishes piled laundry strewn toys scattered everywhere,sadness,4
feel lately ever life precious,joy,2
feel completely burdened intelligence,sadness,4
cant think emotional state worse feeling generally worthless unlovable,sadness,4
dont photos excited happy prejudging great btw least feel tt since felt confident didnt stutter front panel judges dearest bf around doors opened public,joy,2
im feeling jolly href http www,joy,2
feel fake think really want good conversation make good contact appear especially self confident even risk talking people good talk meet one person good connection,sadness,4
went around rest day feeling distressed changed appearance based someones comments made even coincidence appealing felt wrong wrong wrong,fear,1
really enjoy cabernet aggressive flavors tend isnt exactly light wine still general congenial feel find pleasant,joy,2
woke early morning feeling joyful,joy,2
wonder feels loved someone love,love,3
feel havent blogged ages least truly blogged update cute little post today,joy,2
feel cared accepted,love,3
feel passionate knitting seeing really good films surprisingly awesome tv programs cant believe wrote,love,3
im feeling depressed,sadness,4
feel feel drained feel talking others finish strength,sadness,4
feeling ok lots bruising arms decided remove blood,joy,2
feel others worthwhile,joy,2
im feeling listless bored something,sadness,4
joy allowing kids feel like valued treasures blast kid alongside say incredibly humbling experience influence childs life know say internalized,joy,2
sometimes feel irritated thought spending money annuals spruce doorstep,anger,0
wish could bottle squeals delight take whenever im feeling grumpy,anger,0
feeling overwhelmed needing take time,surprise,5
im feeling dangerous ill write figure hell itll take,anger,0
honestly thought impossible point feel pretty,joy,2
found korean men turning foreign women freedom feel easily accounted dating koreans casual thing often tends serious matter,joy,2
think also pity party feeling bit frustrated little time seem day,anger,0
forgive accepting allowing feeling going get punished something wrong,sadness,4
feel like part problem call missy jane trusting angel cover airbrushing real skin cover model,joy,2
might feel offended times hearing statements strongly disagree,anger,0
easily feel quite pressured routines really noticed difference away,fear,1
feeling need christmas crafting week especially seeing couple lovely quilty christmas projects stitch group,love,3
cycle ever feeling finishing manchester blackpool miles bothered ride extra mile put,anger,0
im sure feel anything im keen see test see im yet ready view friend,joy,2
also feel lethargic,sadness,4
im feeling somewhat nostalgic game fact star wars,love,3
feel like punished carry burden even though four years,sadness,4
feeling like said humour gets im one people even spoke issues one would bothered would care thought head wasnt true way like dont want burden sort thing,anger,0
feel part life treasured london flatmates especially neat point something say,love,3
feel innocent,joy,2
feel hopeful new treatment extend life,joy,2
feel like idiot trusting though,joy,2
providing link courtesy author stuff either time never experienced even lived available feel emotional,sadness,4
feeling kinda lost best friend,sadness,4
ive rough days since midst crying dealing feeling defeated emotional put coat curled created safety nest inside coat,sadness,4
feel terribly remourseful didnt stay faithful plans get sooner,love,3
went wedding weekend say feeling important,joy,2
stop reading sids blogs part blogging community feel supporting get better handling grief hence going stop,love,3
feel less shy exploring roles physical ways,fear,1
replied feeling strange giving orders,surprise,5
chant invocation feel force supporting teach,joy,2
feel like moves sleep glad enjoyed week good sleep mentioned feeling,joy,2
really hurt feel unimportant sucks,sadness,4
grew around feeling living minutes away gorgeous atlantic ocean brazil probably surprise grew fond ocean,joy,2
feel honoured today olu jacobs feel honoured today olu jacobs href http momo,joy,2
made chilli oil monday feeling dangerous,anger,0
started walking yesterday feels amazing,joy,2
ive also feeling somewhat emo irritable lately,anger,0
felt joyful subsided feel joyful,joy,2
feel like shy away triggering stereotype person scream break things didnt get eat favorite kind sandwich,fear,1
feel completely distracted emotionally drained,anger,0
exhausted feeling little morose im livid top everything else,sadness,4
feel safe tucked away,joy,2
im feeling tortured write today,fear,1
promise youll feel inspired afterwards,joy,2
feel however something far precious feelings,joy,2
feel working together supporting whole represent larger younger voice politics say,love,3
im alone apartment get overwhelming feeling like im watched im unwelcome,sadness,4
feel blessed people life remind time right thing look better like,love,3
come associate bad feelings bad behaviour continued,sadness,4
feel lot affection longing conveyed,love,3
looking vest tops shorts long ones due feel paranoid cellulite everywhere,fear,1
feel like bit divine intervention,joy,2
know thankful warm loving peaceful presence feel anger feelings discontent frustration flare,sadness,4
im trying understanding open minded fair im feeling completely pissed max things,anger,0
know helps writing made feel somewhat regretful ashamed share think right,sadness,4
feel happy solution,joy,2
enjoy book however especially liked characters brothers one fired detectin spirit feeling skeptical willing back brother fight,fear,1
im sure feels way everyone tortured souls dont make best boyfriends,anger,0
conducted survey quite likely many feel assaulted onel demons creators would felt walls covered eminent figures patriotic heroes epic deeds,sadness,4
think level understanding though still feel hes hesitant,fear,1
feel virtuous go fieldtrip,joy,2
im gon na lie kinda sad feeling pretty lonely,sadness,4
im feeling ecstatic right classy ever redesign project begins week,joy,2
feel could avoided blazes markers cairns annoyed point,anger,0
never told boyfriend parents remember feeling embarrassed maybe even little ashamed,sadness,4
feel aggravated annoyed visits,anger,0
im feeling completely idiotic ablo contribute,sadness,4
aint happy im feeling glad got sunshine bag im useless long future coming,joy,2
feel strong dont let anger win,joy,2
always feel helpless times disaster feel little better knowing even dollars make difference someone need,sadness,4
honestly feel extremely shy ask friends take pictures vain must think,fear,1
ill find elusive second wind feel hopeful today href http www,joy,2
feel intimidated nervous overwhelmed shake like leaf,fear,1
make feel useful fucking guy,joy,2
feel inspired create ive thinking lot inspiration week,joy,2
think interactions person probably fine sufficiently respectful polite ladies feel abused,sadness,4
im feeling extremely fabulous jacket shoes aint bitches gon na bring hahah,joy,2
ive chosen walk jesus maybe im feeling bit miserable im going suck think three dudes,sadness,4
good day right im feeling pretty irritable real reason meaning nothing significant happened make feel annoyed,anger,0
feeling contented pissed time,joy,2
wonder homeowners would feel weird parked gape landscaping,surprise,5
feel impatience rate loss impressed time,surprise,5
im big guy ive gotten rigs weve worked try see feel like let tell less pleasant,joy,2
ran errands buy cora newborn sized sleepers previously made newborn sized babies went lunch celebrate great feeling feel amazing pain pain meds moving around almost completely normally days,surprise,5
really feeling child friendly,joy,2
feel furious,anger,0
think feel like person still amazed,surprise,5
like think present life times working mum good standard ever miss apostrophe miss spell particular word please feel free call,joy,2
feel ask feels like dumb question,sadness,4
feel proud know several people deserved advanced finally picked time around last time peoples cases,joy,2
give goals feel boring,sadness,4
careful make sure characters featured feel sympathetic,love,3
didnt make weight watchers meeting feeling guilty made sure healthy breakfast consisting museli yoghurt fruit,sadness,4
feeling tender spot foot flex certain way back wearing shoes day cowboy,love,3
know feels weird right,fear,1
thought yoga supposed make feel tranquil peaceful sculpt legs greek goddess,joy,2
feel one things dont talk much many people come know plan doesnt taste sweet feel like plan,love,3
left theater ran hand sadly plush red backs seats front feeling almost mournful wasnt going back long time,sadness,4
asked girls meant valued part response felt valued people around made feel valued treated loving caring manner,joy,2
feeling petty right,anger,0
person helping realized inspired people start charity work help feel proud,joy,2
feel amazingly overwhelming thrilled wedding,joy,2
feel shame strange way,surprise,5
suspect much country feels tragic events last week,sadness,4
feel like part accepted part life people never changed,love,3
find relaxes feel productive making food end product taste nice satisfy people,joy,2
feel sometimes distracted neglectful thankful adding another box check otherwise busy days,anger,0
feel individuals opening line shows inadequate simple words,sadness,4
ive deep swamps swimming muddy waters tortured fear feeling lonely lost,sadness,4
feel talented anything eventually putting fully,joy,2
read blog feel shes one person doesnt care people look believes matter bitchy annoying self centered may seem people,anger,0
sat feeling mightily distracted wanting write next scene nano yet rape torture bad stuff,anger,0
came across something made feel lousy,sadness,4
love rides wasnt feeling hot day,love,3
feel bothered things open door,anger,0
found feeling nostalgic thought temporarily abandoned little bishop chronicles,love,3
forgive accepted allowed think writing blog someone feel sorry give sympathy tell right,sadness,4
